"id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","accommodates","bedrooms","beds","price","min_nights","max_nights","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","carbon_monoxide_alarm","stove","hot_water","security_cameras","wifi","heating","fire_extinguisher","free_parking","coffee_maker","kitchen","smoke_alarm","dryer","private_entrance","hair_dryer","TV","waterfront","host_greeting","mean_review"
39023885,8767718,"within an hour","92%","100%","0",1,"Private room",2,3,3,29,2,1125,28,4.46,4.43,4.54,4.93,4.68,4.64,4.61,"0","1",1.26,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.61285714285714
46522370,372878845,"a few days or more","40%","42%","0",7,"Private room",4,1,4,29,1,365,1,4,4,5,5,5,5,5,"1","1",0.12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.71428571428571
4436922,23030421,NA,NA,NA,"0",1,"Private room",2,1,1,30,14,29,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
5475024,28392380,"within a day","100%","0%","1",1,"Private room",3,1,2,30,2,7,66,4.5,4.65,4.97,4.71,4.78,4.06,4.45,"0","0",0.94,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.58857142857143
8958570,18655432,NA,NA,NA,"0",1,"Private room",1,1,1,30,10,30,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
10280513,35987026,NA,NA,NA,"0",1,"Private room",1,1,1,30,1,1125,2,3.5,3,4,3.5,4.5,3,4,"0","0",0.03,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.64285714285714
11094367,7515467,NA,NA,NA,"0",2,"Private room",2,1,1,30,1,1125,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
13689873,79773652,NA,NA,NA,"0",2,"Private room",1,1,1,30,1,7,2,4.5,4.5,3,4.5,4.5,4.5,3.5,"0","0",0.03,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.14285714285714
19015314,132666740,NA,NA,NA,"0",1,"Private room",1,1,1,30,1,1125,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
19488475,134676393,NA,NA,NA,"0",1,"Private room",2,1,1,30,3,1125,2,4.5,5,4.5,5,5,4.5,4.5,"0","1",0.04,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.71428571428571
19688816,57834889,NA,NA,NA,"0",1,"Private room",1,1,1,30,1,2,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
19704153,138712816,NA,NA,NA,"0",1,"Private room",1,1,1,30,3,1125,1,4,5,4,5,5,5,5,"0","0",0.02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.71428571428571
20751452,1450666,"within a day","59%","47%","0",2,"Private room",1,4,4,30,1,1125,40,4.16,3.97,4.32,4.19,4.3,4.57,4.03,"0","0",0.85,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.22
21070432,72364281,NA,NA,"0%","1",2,"Private room",2,1,2,30,1,40,127,4.91,4.91,4.92,4.97,4.98,4.46,4.78,"1","0",2.83,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.84714285714286
21671931,33954132,"within a few hours","100%","100%","0",3,"Private room",2,1,1,30,1,2,76,4.68,4.85,4.72,4.89,4.89,4.52,4.68,"1","1",1.79,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.74714285714286
